gene_id,pfam_accessions
gene-LOC142975994,PF04101.23
gene-LOC142975995,PF00083.31;PF07690.22
gene-LOC142975996,PF21534.2
gene-LOC142975997,PF06585.18
gene-LOC142975998,PF06585.18
gene-LOC142975999,PF00199.25;PF06628.18
gene-LOC142976001,PF00089.33
gene-LOC142976005,PF21534.2
gene-LOC142976006,PF00135.35;PF07859.20;PF20434.6
gene-LOC142976009,PF00400.39;PF23381.2;PF23393.3;PF23409.2;PF23410.5;PF23414.2;PF24796.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25171.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2
gene-LOC142976012,PF11018.14
gene-LOC142976014,PF00096.33;PF13465.13;PF13894.13
gene-LOC142976017,PF26080.1
gene-LOC142976020,PF21534.2
gene-LOC142976022,PF08395.18
gene-LOC142976024,PF23672.2
gene-LOC142976026,PF10230.16
gene-LOC142976027,PF06585.18
gene-LOC142976028,PF06585.18
gene-LOC142976029,PF00151.26
gene-LOC142976030,PF02493.27
gene-LOC142976031,PF00079.26
gene-LOC142976034,PF02628.21
gene-LOC142976035,PF00326.28;PF00561.27;PF12146.16;PF12697.14
gene-LOC142976036,PF00083.31;PF07690.22
gene-LOC142976039,PF00096.33;PF13894.13;PF23225.2
gene-LOC142976042,PF00083.31;PF07690.22
gene-LOC142976043,PF00083.31;PF07690.22
gene-LOC142976044,PF00083.31;PF07690.22
gene-LOC142976045,PF00400.39;PF12937.13;PF23381.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25048.2;PF25171.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2
gene-LOC142976046,PF00083.31;PF07690.22;PF13347.13
gene-LOC142976047,PF00083.31;PF07690.22
gene-LOC142976049,PF02944.26;PF10545.16
gene-LOC142976050,PF00083.31;PF07690.22
gene-LOC142976051,PF08427.16
gene-LOC142976054,PF13843.13
gene-LOC142976055,PF01451.28
gene-LOC142976057,PF00373.24;PF00397.33;PF00595.30;PF21989.3
gene-LOC142976059,PF28490.1
gene-LOC142976060,PF06585.18
gene-LOC142976061,PF00083.31;PF07690.22
gene-LOC142976062,PF00046.36
gene-LOC142976063,PF06585.18
gene-LOC142976065,PF00083.31;PF07690.22
gene-LOC142976068,PF01451.28
gene-LOC142976071,PF04588.19
gene-LOC142976073,PF07690.22
gene-LOC142976074,PF00533.34;PF01068.27;PF04675.20;PF04679.22;PF09414.16;PF11411.14;PF16589.13
gene-LOC142976076,PF06585.18
gene-LOC142976077,PF13873.13
gene-LOC142976078,PF10203.15
gene-LOC142976080,PF06585.18
gene-LOC142976081,PF00167.25
gene-LOC142976082,PF00515.35;PF07719.24;PF13174.13;PF13424.13;PF13428.13;PF13431.13;PF14559.13
gene-LOC142976084,PF00199.25;PF06628.18
gene-LOC142976085,PF10146.15
gene-LOC142976086,PF06585.18
gene-LOC142976087,PF00836.25
gene-LOC142976095,PF00135.35;PF07859.20;PF20434.6
gene-LOC142976097,PF06585.18
gene-LOC142976100,PF06585.18
gene-LOC142976101,PF00060.33;PF00497.26;PF01094.35;PF10613.15
gene-LOC142976105,PF06585.18
gene-LOC142976107,PF00245.26
gene-LOC142976108,PF06585.18
gene-LOC142976111,PF00083.31;PF07690.22
gene-LOC142976116,PF06585.18
gene-LOC142976117,PF00106.32;PF08659.17;PF13561.13;PF23441.1
gene-LOC142976119,PF00398.27;PF08241.19;PF13649.13
gene-LOC142976121,PF00091.32;PF03953.23
gene-LOC142976124,PF00083.31;PF07690.22
gene-LOC142976128,PF00134.29;PF21797.3
gene-LOC142976129,PF00046.36;PF05920.18;PF16878.11
gene-LOC142976134,PF00225.30;PF16796.12
gene-LOC142976135,PF00335.27
gene-LOC142976136,PF06585.18
gene-LOC142976141,PF00083.31;PF07690.22
gene-LOC142976143,PF00060.33;PF00497.26;PF10613.15
gene-LOC142976146,PF06585.18
gene-LOC142976148,PF00106.32;PF08659.17;PF13561.13;PF23441.1
gene-LOC142976149,PF03134.25
gene-LOC142976150,PF00097.32;PF13923.13;PF26084.1
gene-LOC142976151,PF12333.15
gene-LOC142976153,PF00596.28
gene-LOC142976155,PF00060.33;PF00497.26;PF01094.35;PF10613.15
gene-LOC142976156,PF00060.33;PF00497.26;PF01094.35;PF10613.15
gene-LOC142976158,PF00060.33;PF00497.26;PF01094.35;PF10613.15
gene-LOC142976159,PF00060.33;PF00497.26;PF01094.35;PF10613.15
gene-LOC142976160,PF05485.18;PF12017.14
gene-LOC142976161,PF00702.33;PF13242.13;PF13344.13
gene-LOC142976164,PF22651.2
gene-LOC142976166,PF00595.30;PF13180.13;PF17820.8
gene-LOC142976169,PF00026.29
gene-LOC142976171,PF00083.31;PF07690.22
gene-LOC142976173,PF00412.29
gene-LOC142976177,PF05071.22
gene-LOC142976179,PF06585.18
gene-LOC142976181,PF00067.28
gene-LOC142976184,PF06585.18
gene-LOC142976186,PF06585.18
gene-LOC142976188,PF00372.25;PF03722.20;PF03723.21
gene-LOC142976189,PF00199.25;PF06628.18
gene-LOC142976190,PF00090.26;PF02210.32
gene-LOC142976191,PF03227.23
gene-LOC142976192,PF00372.25;PF03722.20;PF03723.21
gene-LOC142976193,PF00083.31;PF07690.22
gene-LOC142976195,PF01408.29;PF02894.23;PF22725.2
gene-LOC142976198,PF02353.27;PF05175.21;PF06325.20;PF08241.19;PF08242.19;PF13489.13;PF13649.13;PF13847.13
gene-LOC142976199,PF00561.27;PF12146.16;PF12697.14
gene-LOC142976200,PF00106.32;PF08659.17;PF13561.13;PF23441.1
gene-LOC142976201,PF00199.25;PF06628.18
gene-LOC142976202,PF01546.34;PF04389.23;PF07687.20
gene-LOC142976204,PF06743.21;PF08368.18;PF08373.17
gene-LOC142976205,PF00199.25;PF06628.18
gene-LOC142976206,PF01315.28;PF02738.24;PF03450.23;PF20256.4
gene-LOC142976207,PF00560.40;PF12799.14;PF13306.13;PF13855.13
gene-LOC142976210,PF00614.29;PF13091.13;PF13918.12
gene-LOC142976211,PF00089.33
gene-LOC142976212,PF00561.27;PF04083.23;PF12146.16
gene-LOC142976213,PF06585.18
gene-LOC142976215,PF00106.32;PF08659.17;PF13561.13
gene-LOC142976217,PF06585.18
gene-LOC142976218,PF00089.33
gene-LOC142976219,PF00050.27;PF07648.21
gene-LOC142976220,PF06094.18;PF13772.12
gene-LOC142976221,PF00255.26
gene-LOC142976225,PF00089.33
gene-LOC142976228,PF00385.31;PF00856.34;PF05033.23
gene-LOC142976231,PF14634.13
gene-LOC142976232,PF06585.18
gene-LOC142976234,PF08584.17
gene-LOC142976238,PF00135.35;PF07859.20;PF20434.6
gene-LOC142976239,PF00135.35;PF07859.20;PF20434.6
gene-LOC142976240,PF04669.20
gene-LOC142976242,PF00089.33
gene-LOC142976243,PF06278.17
gene-LOC142976245,PF00628.36;PF13445.13;PF13639.13;PF23030.2
gene-LOC142976249,PF00089.33
gene-LOC142976250,PF01593.31;PF13450.13
gene-LOC142976251,PF00293.35
gene-LOC142976255,PF00175.27;PF00667.27
gene-LOC142976259,PF14214.12
gene-LOC142976261,PF00089.33
gene-LOC142976262,PF00075.31;PF00078.33;PF01443.25;PF13245.13;PF13604.13;PF14529.13
gene-LOC142976264,PF00083.31;PF07690.22
gene-LOC142976265,PF00083.31;PF07690.22
gene-LOC142976267,PF00089.33
gene-LOC142976269,PF00135.35;PF20434.6
gene-LOC142976270,PF00135.35;PF00326.28;PF07859.20;PF20434.6
gene-LOC142976274,PF01582.26;PF13676.12
gene-LOC142976275,PF00089.33;PF13365.13
gene-LOC142976276,PF25298.2
gene-LOC142976277,PF03732.24;PF19259.5
gene-LOC142976278,PF06585.18
gene-LOC142976279,PF06585.18
gene-LOC142976280,PF06585.18
gene-LOC142976281,PF06585.18
gene-LOC142976282,PF06585.18
gene-LOC142976285,PF00083.31;PF07690.22
gene-LOC142976287,PF00001.27;PF10320.16
gene-LOC142976288,PF06451.18
gene-LOC142976289,PF28302.1
gene-LOC142976290,PF10271.15
gene-LOC142976292,PF00089.33
gene-LOC142976294,PF05347.22;PF20263.5
gene-LOC142976295,PF11018.14
gene-LOC142976296,PF11018.14
gene-LOC142976297,PF00089.33
gene-LOC142976298,PF00089.33
gene-LOC142976299,PF00078.33;PF28514.1
gene-LOC142976300,PF00078.33;PF28514.1
gene-LOC142976301,PF00036.39;PF10591.16;PF13202.13;PF13405.13;PF13499.13;PF13833.13;PF23564.2
gene-LOC142976303,PF00089.33
gene-LOC142976305,PF00199.25
gene-LOC142976306,PF00199.25
gene-LOC142976307,PF00078.33
gene-LOC142976309,PF16012.11
gene-LOC142976311,PF00089.33
gene-LOC142976312,PF01731.27;PF05096.19;PF08450.19;PF24684.2;PF25174.2
gene-LOC142976313,PF01490.25
gene-LOC142976314,PF00003.29;PF01094.35;PF07562.21
gene-LOC142976317,PF00583.32;PF08445.17;PF13508.14
gene-LOC142976318,PF05915.18
gene-LOC142976320,PF00270.36;PF00271.38;PF04851.22;PF13959.12
gene-LOC142976322,PF04499.21
gene-LOC142976325,PF07690.22
gene-LOC142976326,PF00089.33
gene-LOC142976342,PF00089.33
gene-LOC142976356,PF00431.27
gene-LOC142976357,PF00089.33
gene-LOC142976358,PF00076.29;PF13893.13;PF16367.12;PF18360.7
gene-LOC142976359,PF00089.33;PF13365.13
gene-LOC142976361,PF00083.31;PF07690.22
gene-LOC142976363,PF01826.24;PF12662.14
gene-LOC142976364,PF01826.24
gene-LOC142976365,PF01826.24
gene-LOC142976367,PF01826.24
gene-LOC142976368,PF01826.24
gene-LOC142976369,PF01363.28;PF02759.25
gene-LOC142976370,PF00450.29
gene-LOC142976371,PF00487.31
gene-LOC142976372,PF00089.33;PF09342.17
gene-LOC142976375,PF00089.33;PF13365.13
gene-LOC142976376,PF00036.39;PF13405.13;PF13499.13
gene-LOC142976379,PF00151.26
gene-LOC142976380,PF00089.33
gene-LOC142976381,PF07774.20;PF13360.14;PF25293.2
gene-LOC142976382,PF07774.20
gene-LOC142976383,PF00018.35;PF00069.32;PF00595.30;PF00625.28;PF02828.22;PF07714.24
gene-LOC142976384,PF00089.33
gene-LOC142976385,PF00390.25;PF03949.22
gene-LOC142976386,PF00390.25;PF03949.22
gene-LOC142976388,PF00089.33;PF13365.13
gene-LOC142976389,PF01485.28;PF22191.3
gene-LOC142976390,PF00097.32;PF12678.14;PF13445.13;PF13639.13;PF13920.13;PF13923.13;PF14634.13
gene-LOC142976393,PF00069.32;PF07714.24;PF14531.13;PF19431.5
gene-LOC142976395,PF00089.33;PF13365.13
gene-LOC142976396,PF00514.30;PF05923.18;PF05972.17;PF18797.8;PF24768.2
gene-LOC142976397,PF01391.24
gene-LOC142976399,PF00089.33
gene-LOC142976402,PF04199.20
gene-LOC142976407,PF13349.13
gene-LOC142976409,PF00089.33;PF13365.13
gene-LOC142976411,PF01073.26;PF01370.28;PF04321.24;PF13460.13
gene-LOC142976412,PF00400.39;PF23381.2;PF23393.3;PF23414.2;PF23775.2;PF23869.2;PF24105.2;PF24782.3;PF24796.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25168.2;PF25171.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25391.2;PF25460.2
gene-LOC142976413,PF00089.33
gene-LOC142976415,PF00892.27
gene-LOC142976419,PF00089.33
gene-LOC142976420,PF01582.26;PF12799.14;PF13676.12;PF13855.13
gene-LOC142976421,PF00560.40;PF12799.14;PF13306.13;PF13516.13;PF13855.13;PF14580.13;PF23211.1;PF23598.2;PF23952.2
gene-LOC142976425,PF02759.25
gene-LOC142976426,PF00089.33
gene-LOC142976428,PF22572.3;PF22673.3
gene-LOC142976429,PF03006.27
gene-LOC142976435,PF07690.22
gene-LOC142976440,PF00028.24;PF08266.19;PF23592.1;PF25374.1;PF28393.1;PF28399.1
gene-LOC142976443,PF00324.28;PF03522.21;PF13520.13
gene-LOC142976446,PF00089.33;PF13365.13
gene-LOC142976448,PF03098.21
gene-LOC142976451,PF00047.32;PF02440.22;PF07679.23;PF07686.24;PF13895.13;PF13927.13;PF22705.3;PF22971.3
gene-LOC142976453,PF00270.36;PF00271.38;PF04851.22;PF13959.12
gene-LOC142976455,PF00062.26
gene-LOC142976456,PF00062.26
gene-LOC142976459,PF00076.29;PF16367.12
gene-LOC142976460,PF12937.13;PF19270.5
gene-LOC142976461,PF03959.20
gene-LOC142976462,PF00208.28;PF02812.24
gene-LOC142976464,PF00076.29;PF28441.1;PF28442.1
gene-LOC142976465,PF10500.15
gene-LOC142976470,PF00046.36
gene-LOC142976471,PF00096.33;PF12171.15;PF13465.13;PF13894.13
gene-LOC142976473,PF10561.16
gene-LOC142976476,PF00097.32;PF12678.14;PF13445.13;PF13639.13;PF13923.13;PF17123.12
gene-LOC142976478,PF13873.13
gene-LOC142976480,PF00083.31;PF07690.22
gene-LOC142976481,PF00083.31;PF07690.22
gene-LOC142976482,PF00379.30
gene-LOC142976483,PF03435.25
gene-LOC142976484,PF00083.31;PF07690.22
gene-LOC142976486,PF00083.31;PF07690.22
gene-LOC142976487,PF00089.33
gene-LOC142976491,PF04500.23
gene-LOC142976493,PF00089.33
gene-LOC142976494,PF00047.32;PF02440.22;PF07679.23;PF07686.24;PF13895.13;PF13927.13;PF22705.3;PF22971.3
gene-LOC142976497,PF00083.31;PF07690.22
gene-LOC142976498,PF06881.17;PF08711.17
gene-LOC142976500,PF00646.39;PF12937.13
gene-LOC142976503,PF00089.33
gene-LOC142976506,PF04178.19
gene-LOC142976507,PF13912.13
gene-LOC142976508,PF01423.29
gene-LOC142976510,PF00089.33
gene-LOC142976513,PF13516.13;PF27087.1
gene-LOC142976514,PF00083.31;PF07690.22
gene-LOC142976516,PF02466.25
gene-LOC142976517,PF05600.18
gene-LOC142976518,PF12799.14;PF13855.13;PF14580.13
gene-LOC142976519,PF00089.33
gene-LOC142976521,PF09507.17
gene-LOC142976523,PF01607.30
gene-LOC142976525,PF01607.30
gene-LOC142976526,PF00089.33
gene-LOC142976528,PF00046.36
gene-LOC142976529,PF11901.14
gene-LOC142976530,PF13405.13;PF13499.13
gene-LOC142976531,PF00009.34;PF00025.28;PF00071.29;PF01926.30;PF04670.19;PF08477.20
gene-LOC142976532,PF00059.28
gene-LOC142976533,PF00501.35;PF13193.13
gene-LOC142976534,PF00041.28;PF00047.32;PF07679.23;PF07686.24;PF08205.19;PF13895.13;PF13927.13;PF22971.3
gene-LOC142976536,PF00676.26;PF02779.30;PF16870.11
gene-LOC142976537,PF04104.20;PF26466.1
gene-LOC142976538,PF01401.25
gene-LOC142976540,PF11901.14
gene-LOC142976542,PF00270.36;PF00271.38;PF04851.22;PF13959.12
gene-LOC142976543,PF00651.38
gene-LOC142976544,PF00083.31;PF07690.22
gene-LOC142976545,PF00083.31;PF07690.22
gene-LOC142976546,PF25818.2
gene-LOC142976549,PF00083.31;PF07690.22
gene-LOC142976554,PF01981.22
gene-LOC142976555,PF00083.31;PF07690.22
gene-LOC142976556,PF26573.1;PF27745.1
gene-LOC142976557,PF11901.14
gene-LOC142976561,PF00046.36
gene-LOC142976562,PF00046.36
gene-LOC142976563,PF00089.33;PF13365.13
gene-LOC142976565,PF01130.28
gene-LOC142976566,PF00089.33
gene-LOC142976568,PF03148.20
gene-LOC142976569,PF00096.33;PF13465.13;PF13894.13;PF13909.13;PF23225.2
gene-LOC142976570,PF01535.27;PF12854.14;PF13041.13;PF13812.13;PF17177.11;PF23276.3
gene-LOC142976573,PF05648.20
gene-LOC142976575,PF00630.26
gene-LOC142976576,PF03098.21
gene-LOC142976578,PF04500.23
gene-LOC142976580,PF00400.39;PF04192.18;PF12894.14;PF20426.5;PF23098.2;PF23341.2;PF23381.2;PF23393.3;PF23409.2;PF23410.5;PF23414.2;PF23761.2;PF23869.2;PF24105.2;PF24782.3;PF24796.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25048.2;PF25168.2;PF25171.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25178.1;PF25391.2
gene-LOC142976582,PF15868.11
gene-LOC142976585,PF00096.33;PF12171.15;PF12874.14;PF13465.13;PF13894.13;PF13912.13
gene-LOC142976586,PF00089.33;PF13365.13
gene-LOC142976587,PF00047.32;PF07679.23;PF07686.24;PF13895.13;PF13927.13;PF22705.3;PF22854.3;PF22971.3
gene-LOC142976588,PF00207.29;PF01835.26;PF07678.21;PF07703.21
gene-LOC142976589,PF00046.36
gene-LOC142976590,PF00062.26
gene-LOC142976591,PF27509.1
gene-LOC142976593,PF10545.16
gene-LOC142976594,PF03098.21
gene-LOC142976595,PF00089.33
gene-LOC142976596,PF06743.21;PF08368.18
gene-LOC142976598,PF10545.16
gene-LOC142976606,PF05577.19
gene-LOC142976612,PF00014.29
gene-LOC142976614,PF01170.25;PF25904.1
gene-LOC142976615,PF07719.24;PF13428.13;PF14559.13;PF22890.2
gene-LOC142976619,PF00646.39;PF12937.13;PF23598.2
gene-LOC142976622,PF00013.36;PF00023.37;PF12796.14;PF13606.13;PF13637.13;PF13857.13;PF23745.2;PF24521.3
gene-LOC142976626,PF00370.28;PF02782.23
gene-LOC142976627,PF00083.31;PF07690.22;PF12832.14
gene-LOC142976629,PF00069.32;PF07714.24;PF14531.13;PF19431.5
gene-LOC142976630,PF00153.33
gene-LOC142976631,PF01401.25
gene-LOC142976633,PF00041.28;PF00047.32;PF07679.23;PF07686.24;PF08205.19;PF13895.13;PF13927.13;PF22971.3;PF25609.1
gene-LOC142976634,PF00046.36
gene-LOC142976635,PF00068.25
gene-LOC142976636,PF00050.27;PF07648.21
gene-LOC142976637,PF00050.27;PF07648.21
gene-LOC142976638,PF00050.27;PF07648.21
gene-LOC142976649,PF00062.26
gene-LOC142976650,PF04500.23
gene-LOC142976652,PF15982.10
gene-LOC142976655,PF03435.25
gene-LOC142976658,PF00083.31;PF07690.22
gene-LOC142976660,PF04843.20
gene-LOC142976661,PF00010.32
gene-LOC142976662,PF00083.31;PF07690.22
gene-LOC142976663,PF06400.17;PF06401.17
gene-LOC142976664,PF00027.36;PF00520.38;PF07885.23
gene-LOC142976666,PF00047.32;PF07679.23;PF07686.24;PF13895.13;PF13927.13;PF22854.3
gene-LOC142976667,PF10220.15
gene-LOC142976669,PF03435.25
gene-LOC142976673,PF01130.28
gene-LOC142976674,PF01130.28
gene-LOC142976675,PF00385.31;PF01393.27
gene-LOC142976678,PF12799.14;PF13306.13;PF13855.13
gene-LOC142976679,PF01636.30;PF02958.27;PF07914.18
gene-LOC142976680,PF00211.26;PF07700.21;PF07701.21
gene-LOC142976681,PF00083.31;PF07690.22
gene-LOC142976684,PF07690.22
gene-LOC142976686,PF00083.31;PF03137.27;PF07690.22
gene-LOC142976688,PF05648.20
gene-LOC142976692,PF15982.10
gene-LOC142976693,PF00014.29
gene-LOC142976695,PF00083.31;PF07690.22
gene-LOC142976699,PF00194.27
gene-LOC142976704,PF08205.19;PF13895.13
gene-LOC142976706,PF00431.27
gene-LOC142976710,PF00083.31;PF07690.22
gene-LOC142976711,PF07885.23
gene-LOC142976714,PF03803.22
gene-LOC142976717,PF07686.24;PF08205.19;PF13895.13;PF13927.13
gene-LOC142976720,PF00047.32;PF07686.24;PF13895.13;PF13927.13
gene-LOC142976722,PF00155.28;PF01053.27
gene-LOC142976724,PF01607.30
gene-LOC142976726,PF00390.25;PF03949.22
gene-LOC142976727,PF00012.27;PF06723.20
gene-LOC142976728,PF00229.25
gene-LOC142976731,PF03098.21
gene-LOC142976734,PF05485.18
gene-LOC142976735,PF00047.32;PF07679.23;PF07686.24;PF13895.13;PF13927.13;PF22854.3;PF22971.3
gene-LOC142976739,PF10545.16
gene-LOC142976741,PF00112.30
gene-LOC142976745,PF00199.25
gene-LOC142976746,PF00083.31;PF07690.22
gene-LOC142976747,PF01826.24
gene-LOC142976750,PF00083.31;PF07690.22
gene-LOC142976751,PF00057.24
gene-LOC142976752,PF01263.27
gene-LOC142976753,PF00046.36
gene-LOC142976754,PF01391.24
gene-LOC142976757,PF00050.27;PF07648.21
gene-LOC142976759,PF00085.27;PF04756.20;PF13905.13;PF20207.5
gene-LOC142976760,PF00561.27;PF12146.16;PF12697.14
gene-LOC142976763,PF06644.17
gene-LOC142976774,PF01391.24;PF01410.24
gene-LOC142976775,PF00057.24
gene-LOC142976781,PF00240.30
gene-LOC142976782,PF00130.29;PF00609.25;PF00781.30;PF00788.30;PF03107.23;PF24099.2
gene-LOC142976786,PF00096.33;PF13894.13;PF16159.11
gene-LOC142976788,PF00069.32;PF07714.24
gene-LOC142976791,PF07850.20;PF25294.2
gene-LOC142976792,PF10294.16
gene-LOC142976794,PF00076.29;PF16367.12
gene-LOC142976795,PF00096.33;PF05605.19;PF13465.13;PF13894.13
gene-LOC142976796,PF01053.27;PF06838.18
gene-LOC142976798,PF00561.27;PF04083.23;PF12697.14
gene-LOC142976800,PF00075.31;PF00078.33;PF01443.25;PF13245.13;PF13604.13;PF14529.13
gene-LOC142976801,PF00075.31;PF00078.33;PF01443.25;PF13245.13;PF13604.13;PF14529.13
gene-LOC142976802,PF00083.31;PF07690.22
gene-LOC142976804,PF00858.30
gene-LOC142976805,PF00287.25
gene-LOC142976806,PF14497.12
gene-LOC142976808,PF02518.32;PF08676.17;PF13589.13
gene-LOC142976809,PF00493.30;PF01078.28;PF02840.21;PF07728.21;PF08799.18;PF17207.10;PF17855.8;PF26066.1
gene-LOC142976811,PF00078.33
gene-LOC142976813,PF08395.18
gene-LOC142976814,PF07850.20
gene-LOC142976816,PF00089.33;PF09342.17;PF13365.13
gene-LOC142976817,PF00089.33;PF09342.17;PF13365.13
gene-LOC142976818,PF08395.18
gene-LOC142976819,PF00027.36
gene-LOC142976821,PF00194.27
gene-LOC142976823,PF00041.28;PF00047.32;PF07679.23;PF07686.24;PF08205.19;PF13895.13;PF13927.13;PF16680.12;PF22971.3
gene-LOC142976825,PF01607.30
gene-LOC142976826,PF00063.28;PF06017.20
gene-LOC142976827,PF07690.22
gene-LOC142976828,PF11901.14
gene-LOC142976829,PF11901.14
gene-LOC142976830,PF25805.2
gene-LOC142976835,PF02892.22
gene-LOC142976836,PF09495.16
gene-LOC142976866,PF00076.29;PF01805.26;PF04818.20
gene-LOC142976868,PF00096.33;PF05605.19;PF07776.22;PF12171.15;PF12874.14;PF13465.13;PF13894.13;PF23561.2
gene-LOC142976869,PF00096.33;PF07776.22;PF12171.15;PF12874.14;PF13465.13;PF13894.13;PF23611.2
gene-LOC142976870,PF07716.21
gene-LOC142976872,PF00005.34;PF00664.29;PF02463.26
gene-LOC142976873,PF00887.25;PF13897.12
gene-LOC142976875,PF00294.30;PF08543.18
gene-LOC142976881,PF00096.33;PF07776.22;PF12171.15;PF12874.14;PF13465.13;PF13894.13;PF13912.13
gene-LOC142976884,PF00149.34;PF14008.12;PF16656.12
gene-LOC142976886,PF00250.25
gene-LOC142976887,PF00089.33
gene-LOC142976888,PF00089.33
gene-LOC142976889,PF00089.33
gene-LOC142976890,PF00089.33
gene-LOC142976891,PF00089.33
gene-LOC142976892,PF00089.33
gene-LOC142976893,PF05721.20
gene-LOC142976894,PF00089.33
gene-LOC142976898,PF00106.32
gene-LOC142976899,PF03265.22
gene-LOC142976902,PF01042.27;PF01902.25;PF28410.1
gene-LOC142976903,PF01426.25
gene-LOC142976904,PF00941.28;PF01315.28;PF01799.26;PF02738.24;PF03450.23;PF20256.4
gene-LOC142976909,PF00928.27
gene-LOC142976910,PF00176.30;PF00271.38
gene-LOC142976911,PF06271.19
gene-LOC142976914,PF00753.34
gene-LOC142976919,PF05485.18
gene-LOC142976920,PF10545.16
gene-LOC142976923,PF03619.23
gene-LOC142976925,PF00149.34;PF16891.11
gene-LOC142976927,PF27583.1
gene-LOC142976928,PF01459.29
gene-LOC142976929,PF02263.26;PF02841.21
gene-LOC142976930,PF00206.26;PF10415.15
gene-LOC142976931,PF12705.14
gene-LOC142976933,PF00201.25;PF04101.23;PF06722.19
gene-LOC142976934,PF00201.25;PF06722.19
gene-LOC142976938,PF00201.25;PF04101.23;PF06722.19
gene-LOC142976939,PF00941.28;PF01315.28;PF01799.26;PF02738.24;PF03450.23;PF20256.4
gene-LOC142976940,PF00111.33;PF00941.28;PF01315.28;PF01799.26;PF02738.24;PF03450.23;PF20256.4
gene-LOC142976942,PF00560.40;PF12799.14;PF13855.13;PF23211.1;PF23598.2
gene-LOC142976944,PF02263.26;PF02841.21
gene-LOC142976945,PF13919.12;PF14465.13;PF25793.2
gene-LOC142976947,PF14923.13
gene-LOC142976951,PF05770.17;PF17927.8
gene-LOC142976953,PF04587.21
gene-LOC142976954,PF04000.21
gene-LOC142976964,PF00046.36
gene-LOC142976966,PF01432.27
gene-LOC142976968,PF13499.13
gene-LOC142976969,PF09750.15
gene-LOC142976971,PF01431.28;PF05649.19
gene-LOC142976972,PF12314.14
gene-LOC142976976,PF00089.33
gene-LOC142976981,PF00089.33
gene-LOC142976982,PF00941.28;PF01315.28;PF01799.26;PF02738.24;PF03450.23;PF20256.4
gene-LOC142976983,PF02460.25;PF12349.15;PF16414.12;PF22314.3
gene-LOC142976986,PF00010.32
gene-LOC142976987,PF00400.39;PF08145.18;PF12894.14;PF23381.2;PF23414.2;PF24105.2;PF24796.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25168.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25460.2
gene-LOC142976988,PF01722.24
gene-LOC142976993,PF00089.33
gene-LOC142976994,PF01436.28
gene-LOC142976995,PF00023.37;PF07525.22;PF12796.14;PF13606.13;PF13637.13;PF13857.13
gene-LOC142976997,PF03188.22
gene-LOC142977000,PF03828.25;PF22600.3
gene-LOC142977001,PF02985.29;PF10350.16;PF25150.2;PF25151.2
gene-LOC142977002,PF02219.24
gene-LOC142977004,PF02297.23
gene-LOC142977005,PF00096.33;PF12171.15;PF13465.13;PF13894.13;PF13912.13
gene-LOC142977007,PF00046.36
gene-LOC142977010,PF00059.28
gene-LOC142977011,PF05721.20
gene-LOC142977012,PF00089.33
gene-LOC142977019,PF13679.13
gene-LOC142977021,PF00560.40;PF12799.14;PF13306.13;PF13855.13;PF14580.13;PF23598.2
gene-LOC142977024,PF00096.33;PF07776.22;PF12171.15;PF12874.14;PF13465.13;PF13894.13;PF13912.13;PF15909.11
gene-LOC142977026,PF00067.28
gene-LOC142977031,PF00100.30;PF25057.2;PF25301.1
gene-LOC142977033,PF00089.33
gene-LOC142977034,PF00089.33
gene-LOC142977036,PF00089.33
gene-LOC142977037,PF04676.20;PF04677.21
gene-LOC142977040,PF00650.26;PF13716.12;PF28528.1
gene-LOC142977044,PF00067.28
gene-LOC142977050,PF02540.24;PF03054.23;PF20258.5;PF20259.4
gene-LOC142977053,PF00111.33;PF00941.28;PF01315.28;PF01799.26;PF02738.24;PF03450.23;PF20256.4
gene-LOC142977054,PF00941.28;PF01315.28;PF01799.26;PF02738.24;PF03450.23;PF20256.4
gene-LOC142977055,PF01315.28;PF02738.24;PF03450.23;PF20256.4
gene-LOC142977056,PF00245.26
gene-LOC142977057,PF00067.28
gene-LOC142977059,PF00059.28
gene-LOC142977060,PF00001.27;PF10328.16
gene-LOC142977063,PF00171.28
gene-LOC142977064,PF00001.27;PF10320.16;PF10323.16;PF13853.13
gene-LOC142977065,PF10269.15
gene-LOC142977066,PF02949.26
gene-LOC142977073,PF00107.33;PF00109.33;PF00698.27;PF00975.27;PF02801.29;PF08659.17;PF16197.12;PF21149.4
gene-LOC142977075,PF03564.22;PF18701.7
gene-LOC142977077,PF00042.29
gene-LOC142977078,PF00042.29
gene-LOC142977080,PF00059.28;PF01344.32;PF05966.18;PF18925.6
gene-LOC142977083,PF01813.23
gene-LOC142977084,PF03188.22
