gene_id,kegg_ko
gene-LOC142975150,ko:K14999
gene-LOC142975150,ko:K15003
gene-LOC142975153,ko:K00069
gene-LOC142975154,ko:K00069
gene-LOC142975155,ko:K00069
gene-LOC142975156,ko:K00069
gene-LOC142975157,ko:K14708
gene-LOC142975158,ko:K06532
gene-LOC142975159,ko:K01050
gene-LOC142975161,ko:K14708
gene-LOC142975163,ko:K01802
gene-LOC142975164,ko:K17908
gene-LOC142975169,ko:K12319
gene-LOC142975169,ko:K17479
gene-LOC142975173,ko:K00940
gene-LOC142975196,ko:K05679
gene-LOC142975204,ko:K12896
gene-LOC142975207,ko:K01312
gene-LOC142975207,ko:K09640
gene-LOC142975214,ko:K11141
gene-LOC142975215,ko:K08471
gene-LOC142975216,ko:K18283
gene-LOC142975219,ko:K03358
gene-LOC142975221,ko:K09254
gene-LOC142975227,ko:K07427
gene-LOC142975227,ko:K15001
gene-LOC142975227,ko:K17953
gene-LOC142975232,ko:K13356
gene-LOC142975233,ko:K00115
gene-LOC142975233,ko:K21270
gene-LOC142975235,ko:K00115
gene-LOC142975235,ko:K21270
gene-LOC142975236,ko:K00108
gene-LOC142975236,ko:K21270
gene-LOC142975247,ko:K00507
gene-LOC142975247,ko:K15331
gene-LOC142975251,ko:K10718
gene-LOC142975252,ko:K00472
gene-LOC142975254,ko:K01436
gene-LOC142975254,ko:K14677
gene-LOC142975257,ko:K11804
gene-LOC142975259,ko:K20752
gene-LOC142975263,ko:K10417
gene-LOC142975269,ko:K07427
gene-LOC142975269,ko:K15001
gene-LOC142975269,ko:K17953
gene-LOC142975270,ko:K00232
gene-LOC142975270,ko:K05313
gene-LOC142975271,ko:K00232
gene-LOC142975271,ko:K05313
gene-LOC142975273,ko:K14620
gene-LOC142975274,ko:K05679
gene-LOC142975276,ko:K00710
gene-LOC142975277,ko:K11446
gene-LOC142975277,ko:K12495
gene-LOC142975277,ko:K19952
gene-LOC142975287,ko:K17434
gene-LOC142975288,ko:K10404
gene-LOC142975300,ko:K18157
gene-LOC142975301,ko:K11657
gene-LOC142975303,ko:K13525
gene-LOC142975303,ko:K14575
gene-LOC142975305,ko:K09364
gene-LOC142975324,ko:K14008
gene-LOC142975328,ko:K09565
gene-LOC142975335,ko:K20526
gene-LOC142975336,ko:K20526
gene-LOC142975337,ko:K05665
gene-LOC142975337,ko:K05666
gene-LOC142975339,ko:K09530
gene-LOC142975340,ko:K00507
gene-LOC142975342,ko:K14965
gene-LOC142975350,ko:K10408
gene-LOC142975351,ko:K13915
gene-LOC142975352,ko:K13915
gene-LOC142975353,ko:K13915
gene-LOC142975354,ko:K13915
gene-LOC142975355,ko:K13915
gene-LOC142975356,ko:K01185
gene-LOC142975356,ko:K13915
gene-LOC142975358,ko:K08013
gene-LOC142975358,ko:K17701
gene-LOC142975358,ko:K17702
gene-LOC142975359,ko:K01530
gene-LOC142975359,ko:K14802
gene-LOC142975363,ko:K06813
gene-LOC142975363,ko:K16501
gene-LOC142975363,ko:K16502
gene-LOC142975365,ko:K09385
gene-LOC142975368,ko:K13208
gene-LOC142975369,ko:K13220
gene-LOC142975375,ko:K22382
gene-LOC142975377,ko:K11806
gene-LOC142975380,ko:K09437
gene-LOC142975380,ko:K09443
gene-LOC142975386,ko:K16476
gene-LOC142975386,ko:K16477
gene-LOC142975390,ko:K17555
gene-LOC142975393,ko:K10718
gene-LOC142975399,ko:K07023
gene-LOC142975402,ko:K06832
gene-LOC142975402,ko:K10091
gene-LOC142975402,ko:K10093
gene-LOC142975402,ko:K20300
gene-LOC142975405,ko:K12349
gene-LOC142975406,ko:K00507
gene-LOC142975406,ko:K15331
gene-LOC142975407,ko:K00507
gene-LOC142975407,ko:K15331
gene-LOC142975410,ko:K13356
gene-LOC142975411,ko:K13356
gene-LOC142975413,ko:K00507
gene-LOC142975413,ko:K15331
gene-LOC142975414,ko:K00507
gene-LOC142975414,ko:K15331
gene-LOC142975418,ko:K01265
gene-LOC142975419,ko:K00699
gene-LOC142975419,ko:K04628
gene-LOC142975421,ko:K01312
gene-LOC142975423,ko:K01301
gene-LOC142975423,ko:K11984
gene-LOC142975424,ko:K22370
gene-LOC142975427,ko:K06483
gene-LOC142975427,ko:K06484
gene-LOC142975427,ko:K06487
gene-LOC142975427,ko:K06584
gene-LOC142975427,ko:K06585
gene-LOC142975428,ko:K01312
gene-LOC142975433,ko:K08664
gene-LOC142975433,ko:K09628
gene-LOC142975433,ko:K09630
gene-LOC142975435,ko:K09560
gene-LOC142975439,ko:K14258
gene-LOC142975448,ko:K10732
gene-LOC142975462,ko:K14209
gene-LOC142975464,ko:K13356
gene-LOC142975467,ko:K01988
gene-LOC142975470,ko:K06483
gene-LOC142975470,ko:K06484
gene-LOC142975470,ko:K06487
gene-LOC142975470,ko:K06584
gene-LOC142975470,ko:K06585
gene-LOC142975474,ko:K00993
gene-LOC142975477,ko:K00863
gene-LOC142975488,ko:K08664
gene-LOC142975488,ko:K09628
gene-LOC142975488,ko:K09630
gene-LOC142975490,ko:K00507
gene-LOC142975490,ko:K15331
gene-LOC142975493,ko:K06587
gene-LOC142975494,ko:K08471
gene-LOC142975497,ko:K14210
gene-LOC142975500,ko:K01487
gene-LOC142975505,ko:K01312
gene-LOC142975505,ko:K09640
gene-LOC142975507,ko:K19042
gene-LOC142975516,ko:K12302
gene-LOC142975518,ko:K04716
gene-LOC142975518,ko:K04717
gene-LOC142975519,ko:K01512
gene-LOC142975527,ko:K05052
gene-LOC142975527,ko:K05053
gene-LOC142975537,ko:K00472
gene-LOC142975538,ko:K14638
gene-LOC142975539,ko:K13188
gene-LOC142975541,ko:K13356
gene-LOC142975542,ko:K19404
gene-LOC142975545,ko:K13983
gene-LOC142975545,ko:K18422
gene-LOC142975545,ko:K18432
gene-LOC142975546,ko:K18809
gene-LOC142975547,ko:K22322
gene-LOC142975548,ko:K09254
gene-LOC142975549,ko:K04735
gene-LOC142975549,ko:K09254
gene-LOC142975557,ko:K10605
gene-LOC142975560,ko:K19404
gene-LOC142975564,ko:K10718
gene-LOC142975568,ko:K09324
gene-LOC142975571,ko:K08664
gene-LOC142975571,ko:K09628
gene-LOC142975571,ko:K09630
gene-LOC142975573,ko:K01758
gene-LOC142975574,ko:K20032
gene-LOC142975575,ko:K13356
gene-LOC142975581,ko:K05336
gene-LOC142975583,ko:K15109
gene-LOC142975584,ko:K06832
gene-LOC142975584,ko:K10091
gene-LOC142975584,ko:K10093
gene-LOC142975584,ko:K20300
gene-LOC142975585,ko:K01312
gene-LOC142975585,ko:K09640
gene-LOC142975590,ko:K19675
gene-LOC142975593,ko:K15333
gene-LOC142975601,ko:K18334
gene-LOC142975603,ko:K00507
gene-LOC142975603,ko:K15331
gene-LOC142975605,ko:K20230
gene-LOC142975609,ko:K02177
gene-LOC142975609,ko:K13207
gene-LOC142975611,ko:K02270
gene-LOC142975613,ko:K13236
gene-LOC142975613,ko:K13237
gene-LOC142975614,ko:K13236
gene-LOC142975614,ko:K13237
gene-LOC142975616,ko:K20825
gene-LOC142975618,ko:K00472
gene-LOC142975619,ko:K00472
gene-LOC142975620,ko:K00472
gene-LOC142975623,ko:K07523
gene-LOC142975623,ko:K16351
gene-LOC142975623,ko:K20230
gene-LOC142975624,ko:K00682
gene-LOC142975627,ko:K17343
gene-LOC142975629,ko:K01185
gene-LOC142975629,ko:K13915
gene-LOC142975634,ko:K19404
gene-LOC142975635,ko:K00682
gene-LOC142975641,ko:K05674
gene-LOC142975644,ko:K11491
gene-LOC142975650,ko:K10667
gene-LOC142975659,ko:K12461
gene-LOC142975664,ko:K02330
gene-LOC142975665,ko:K03120
gene-LOC142975678,ko:K07611
gene-LOC142975678,ko:K12641
gene-LOC142975678,ko:K20478
gene-LOC142975682,ko:K01185
gene-LOC142975682,ko:K13915
gene-LOC142975690,ko:K00115
gene-LOC142975690,ko:K21270
gene-LOC142975695,ko:K10718
gene-LOC142975701,ko:K13136
gene-LOC142975704,ko:K00115
gene-LOC142975704,ko:K21270
gene-LOC142975714,ko:K01312
gene-LOC142975714,ko:K09640
gene-LOC142975717,ko:K10589
gene-LOC142975718,ko:K04735
gene-LOC142975718,ko:K09254
gene-LOC142975719,ko:K09254
gene-LOC142975720,ko:K00115
gene-LOC142975720,ko:K21270
gene-LOC142975721,ko:K00026
gene-LOC142975724,ko:K00757
gene-LOC142975729,ko:K08794
gene-LOC142975743,ko:K05665
gene-LOC142975743,ko:K05666
gene-LOC142975744,ko:K05665
gene-LOC142975744,ko:K05666
gene-LOC142975746,ko:K05665
gene-LOC142975746,ko:K05666
gene-LOC142975747,ko:K01044
gene-LOC142975747,ko:K01049
gene-LOC142975747,ko:K01050
gene-LOC142975747,ko:K03927
gene-LOC142975747,ko:K15743
gene-LOC142975751,ko:K00940
gene-LOC142975751,ko:K20790
gene-LOC142975752,ko:K00128
gene-LOC142975753,ko:K00128
gene-LOC142975755,ko:K11979
gene-LOC142975756,ko:K09602
gene-LOC142975764,ko:K17964
gene-LOC142975767,ko:K17108
gene-LOC142975768,ko:K08145
gene-LOC142975769,ko:K09646
gene-LOC142975771,ko:K14258
gene-LOC142975772,ko:K14258
gene-LOC142975774,ko:K09646
gene-LOC142975775,ko:K01436
gene-LOC142975775,ko:K14677
gene-LOC142975776,ko:K01436
gene-LOC142975776,ko:K14677
gene-LOC142975782,ko:K00507
gene-LOC142975782,ko:K15331
gene-LOC142975795,ko:K03639
gene-LOC142975797,ko:K03637
gene-LOC142975799,ko:K06546
gene-LOC142975804,ko:K08202
gene-LOC142975804,ko:K08212
gene-LOC142975808,ko:K01050
gene-LOC142975809,ko:K01044
gene-LOC142975809,ko:K01049
gene-LOC142975809,ko:K01050
gene-LOC142975809,ko:K03927
gene-LOC142975809,ko:K15743
gene-LOC142975811,ko:K15287
gene-LOC142975813,ko:K15287
gene-LOC142975815,ko:K08202
gene-LOC142975824,ko:K13288
gene-LOC142975827,ko:K06013
gene-LOC142975840,ko:K15720
gene-LOC142975845,ko:K01044
gene-LOC142975845,ko:K01049
gene-LOC142975845,ko:K01050
gene-LOC142975845,ko:K03927
gene-LOC142975845,ko:K15743
gene-LOC142975846,ko:K01044
gene-LOC142975846,ko:K01049
gene-LOC142975846,ko:K01050
gene-LOC142975846,ko:K03927
gene-LOC142975846,ko:K15743
gene-LOC142975852,ko:K19525
gene-LOC142975854,ko:K13115
gene-LOC142975855,ko:K09395
gene-LOC142975855,ko:K09411
gene-LOC142975859,ko:K21246
gene-LOC142975861,ko:K08134
gene-LOC142975861,ko:K19606
gene-LOC142975861,ko:K22461
gene-LOC142975866,ko:K13108
gene-LOC142975867,ko:K13170
gene-LOC142975868,ko:K14569
gene-LOC142975871,ko:K17541
gene-LOC142975877,ko:K20774
gene-LOC142975877,ko:K20799
gene-LOC142975880,ko:K05313
gene-LOC142975882,ko:K21108
gene-LOC142975884,ko:K09114
gene-LOC142975886,ko:K04912
gene-LOC142975886,ko:K04917
gene-LOC142975891,ko:K00019
gene-LOC142975892,ko:K00626
gene-LOC142975894,ko:K00232
gene-LOC142975894,ko:K02886
gene-LOC142975898,ko:K18808
gene-LOC142975900,ko:K19983
gene-LOC142975903,ko:K06643
gene-LOC142975906,ko:K20800
gene-LOC142975911,ko:K17808
gene-LOC142975912,ko:K00591
gene-LOC142975920,ko:K01255
gene-LOC142975920,ko:K10768
gene-LOC142975920,ko:K11142
gene-LOC142975921,ko:K10768
gene-LOC142975922,ko:K02183
gene-LOC142975923,ko:K10442
gene-LOC142975924,ko:K00626
gene-LOC142975930,ko:K00236
gene-LOC142975933,ko:K01512
gene-LOC142975934,ko:K00432
gene-LOC142975934,ko:K05361
gene-LOC142975936,ko:K15432
gene-LOC142975938,ko:K10743
gene-LOC142975939,ko:K04143
gene-LOC142975956,ko:K00108
gene-LOC142975956,ko:K00115
gene-LOC142975956,ko:K21270
gene-LOC142975961,ko:K03781
gene-LOC142975962,ko:K03781
gene-LOC142975963,ko:K13513
gene-LOC142975964,ko:K08202
gene-LOC142975964,ko:K08209
gene-LOC142975964,ko:K08210
gene-LOC142975965,ko:K08202
gene-LOC142975965,ko:K08209
gene-LOC142975965,ko:K08210
gene-LOC142975966,ko:K13513
gene-LOC142975967,ko:K01053
gene-LOC142975968,ko:K08202
gene-LOC142975975,ko:K18438
gene-LOC142975979,ko:K10743
gene-LOC142975982,ko:K00591
gene-LOC142975989,ko:K00591
gene-LOC142975994,ko:K07432
gene-LOC142975995,ko:K08202
gene-LOC142975999,ko:K03781
gene-LOC142976006,ko:K01049
gene-LOC142976022,ko:K08471
gene-LOC142976029,ko:K19404
gene-LOC142976034,ko:K02259
gene-LOC142976035,ko:K09208
gene-LOC142976036,ko:K08202
gene-LOC142976039,ko:K09228
gene-LOC142976042,ko:K08202
gene-LOC142976043,ko:K08202
gene-LOC142976044,ko:K08202
gene-LOC142976045,ko:K10265
gene-LOC142976046,ko:K08202
gene-LOC142976047,ko:K08202
gene-LOC142976050,ko:K08202
gene-LOC142976055,ko:K14394
gene-LOC142976061,ko:K08202
gene-LOC142976062,ko:K09310
gene-LOC142976065,ko:K08202
gene-LOC142976065,ko:K08209
gene-LOC142976065,ko:K08210
gene-LOC142976065,ko:K17662
gene-LOC142976068,ko:K14394
gene-LOC142976074,ko:K10777
gene-LOC142976074,ko:K15201
gene-LOC142976078,ko:K18178
gene-LOC142976081,ko:K04358
gene-LOC142976082,ko:K10777
gene-LOC142976082,ko:K15201
gene-LOC142976084,ko:K03781
gene-LOC142976095,ko:K01050
gene-LOC142976101,ko:K05313
gene-LOC142976107,ko:K01077
gene-LOC142976107,ko:K21411
gene-LOC142976110,ko:K05752
gene-LOC142976110,ko:K07554
gene-LOC142976111,ko:K08202
gene-LOC142976119,ko:K14191
gene-LOC142976121,ko:K07374
gene-LOC142976124,ko:K08202
gene-LOC142976129,ko:K19473
gene-LOC142976134,ko:K10402
gene-LOC142976135,ko:K06460
gene-LOC142976135,ko:K06508
gene-LOC142976143,ko:K05313
gene-LOC142976149,ko:K17338
gene-LOC142976150,ko:K10631
gene-LOC142976151,ko:K14827
gene-LOC142976153,ko:K08964
gene-LOC142976155,ko:K05313
gene-LOC142976156,ko:K05313
gene-LOC142976158,ko:K05313
gene-LOC142976159,ko:K05313
gene-LOC142976161,ko:K19269
gene-LOC142976161,ko:K21013
gene-LOC142976169,ko:K04521
gene-LOC142976171,ko:K08202
gene-LOC142976173,ko:K12792
gene-LOC142976173,ko:K16676
gene-LOC142976177,ko:K18160
gene-LOC142976181,ko:K14999
gene-LOC142976189,ko:K03781
gene-LOC142976191,ko:K08059
gene-LOC142976193,ko:K08202
gene-LOC142976195,ko:K00078
gene-LOC142976198,ko:K00591
gene-LOC142976199,ko:K22369
gene-LOC142976201,ko:K03781
gene-LOC142976202,ko:K01436
gene-LOC142976202,ko:K14677
gene-LOC142976205,ko:K03781
gene-LOC142976206,ko:K00106
gene-LOC142976210,ko:K16860
gene-LOC142976210,ko:K18160
gene-LOC142976211,ko:K01312
gene-LOC142976211,ko:K09640
gene-LOC142976212,ko:K01052
gene-LOC142976215,ko:K00038
gene-LOC142976218,ko:K01312
gene-LOC142976220,ko:K00682
gene-LOC142976221,ko:K00432
gene-LOC142976225,ko:K01312
gene-LOC142976225,ko:K09640
gene-LOC142976228,ko:K03242
gene-LOC142976228,ko:K11419
gene-LOC142976234,ko:K14530
gene-LOC142976238,ko:K01050
gene-LOC142976239,ko:K01050
gene-LOC142976242,ko:K01312
gene-LOC142976242,ko:K09640
gene-LOC142976245,ko:K17586
gene-LOC142976249,ko:K01312
gene-LOC142976249,ko:K09640
gene-LOC142976250,ko:K00308
gene-LOC142976250,ko:K12259
gene-LOC142976251,ko:K17817
gene-LOC142976255,ko:K00597
gene-LOC142976259,ko:K15255
gene-LOC142976260,ko:K15255
gene-LOC142976261,ko:K01312
gene-LOC142976264,ko:K08202
gene-LOC142976265,ko:K08202
gene-LOC142976267,ko:K01312
gene-LOC142976267,ko:K09640
gene-LOC142976269,ko:K01044
gene-LOC142976269,ko:K01049
gene-LOC142976269,ko:K01050
gene-LOC142976269,ko:K03927
gene-LOC142976269,ko:K15743
gene-LOC142976270,ko:K01050
gene-LOC142976274,ko:K18809
gene-LOC142976275,ko:K01312
gene-LOC142976275,ko:K09640
gene-LOC142976285,ko:K08202
gene-LOC142976285,ko:K08209
gene-LOC142976285,ko:K08210
gene-LOC142976287,ko:K04153
gene-LOC142976290,ko:K16531
gene-LOC142976292,ko:K01312
gene-LOC142976292,ko:K09640
gene-LOC142976298,ko:K09641
gene-LOC142976303,ko:K01312
gene-LOC142976303,ko:K09640
gene-LOC142976305,ko:K03781
gene-LOC142976306,ko:K03781
gene-LOC142976311,ko:K01312
gene-LOC142976311,ko:K09640
gene-LOC142976312,ko:K01053
gene-LOC142976313,ko:K20730
gene-LOC142976314,ko:K04603
gene-LOC142976314,ko:K04604
gene-LOC142976314,ko:K04605
gene-LOC142976320,ko:K14776
gene-LOC142976322,ko:K15499
gene-LOC142976322,ko:K15500
gene-LOC142976322,ko:K15501
gene-LOC142976324,ko:K15499
gene-LOC142976324,ko:K15500
gene-LOC142976324,ko:K15501
gene-LOC142976326,ko:K01312
gene-LOC142976326,ko:K09640
gene-LOC142976342,ko:K01312
gene-LOC142976342,ko:K09640
gene-LOC142976357,ko:K01312
gene-LOC142976357,ko:K09640
gene-LOC142976358,ko:K13160
gene-LOC142976358,ko:K13161
gene-LOC142976359,ko:K01312
gene-LOC142976359,ko:K09640
gene-LOC142976367,ko:K13963
gene-LOC142976369,ko:K10742
gene-LOC142976369,ko:K12482
gene-LOC142976370,ko:K09646
gene-LOC142976371,ko:K00507
gene-LOC142976372,ko:K09640
gene-LOC142976375,ko:K01312
gene-LOC142976375,ko:K09640
gene-LOC142976376,ko:K12757
gene-LOC142976380,ko:K01312
gene-LOC142976380,ko:K09640
gene-LOC142976383,ko:K06103
gene-LOC142976384,ko:K01312
gene-LOC142976384,ko:K09640
gene-LOC142976385,ko:K00027
gene-LOC142976385,ko:K00029
gene-LOC142976386,ko:K00027
gene-LOC142976386,ko:K00029
gene-LOC142976388,ko:K01312
gene-LOC142976388,ko:K09640
gene-LOC142976389,ko:K11972
gene-LOC142976389,ko:K11973
gene-LOC142976390,ko:K10264
gene-LOC142976390,ko:K22379
gene-LOC142976393,ko:K04428
gene-LOC142976395,ko:K01312
gene-LOC142976395,ko:K09640
gene-LOC142976396,ko:K02085
gene-LOC142976409,ko:K01312
gene-LOC142976412,ko:K20241
gene-LOC142976413,ko:K01312
gene-LOC142976413,ko:K09640
gene-LOC142976415,ko:K15288
gene-LOC142976419,ko:K01312
gene-LOC142976419,ko:K09640
gene-LOC142976420,ko:K18809
gene-LOC142976421,ko:K17256
gene-LOC142976426,ko:K01310
gene-LOC142976430,ko:K04798
gene-LOC142976436,ko:K12749
gene-LOC142976443,ko:K14427
gene-LOC142976446,ko:K09463
gene-LOC142976453,ko:K13179
gene-LOC142976455,ko:K01185
gene-LOC142976455,ko:K13915
gene-LOC142976456,ko:K13915
gene-LOC142976459,ko:K12741
gene-LOC142976459,ko:K13158
gene-LOC142976460,ko:K10295
gene-LOC142976461,ko:K07561
gene-LOC142976462,ko:K00261
gene-LOC142976464,ko:K12898
gene-LOC142976470,ko:K09307
gene-LOC142976470,ko:K09311
gene-LOC142976476,ko:K22378
gene-LOC142976486,ko:K08145
gene-LOC142976487,ko:K01312
gene-LOC142976487,ko:K09640
gene-LOC142976493,ko:K01312
gene-LOC142976493,ko:K09640
gene-LOC142976498,ko:K02868
gene-LOC142976498,ko:K15076
gene-LOC142976500,ko:K10268
gene-LOC142976503,ko:K01312
gene-LOC142976503,ko:K09640
gene-LOC142976508,ko:K12627
gene-LOC142976510,ko:K01312
gene-LOC142976510,ko:K09640
gene-LOC142976516,ko:K17795
gene-LOC142976516,ko:K19382
gene-LOC142976517,ko:K20349
gene-LOC142976519,ko:K01312
gene-LOC142976519,ko:K09640
gene-LOC142976521,ko:K03504
gene-LOC142976526,ko:K01312
gene-LOC142976528,ko:K08735
gene-LOC142976528,ko:K09319
gene-LOC142976531,ko:K07910
gene-LOC142976532,ko:K06560
gene-LOC142976534,ko:K06753
gene-LOC142976534,ko:K06754
gene-LOC142976534,ko:K06755
gene-LOC142976536,ko:K15791
gene-LOC142976537,ko:K02685
gene-LOC142976538,ko:K01283
gene-LOC142976542,ko:K13179
gene-LOC142976549,ko:K06258
gene-LOC142976555,ko:K06901
gene-LOC142976563,ko:K09640
gene-LOC142976565,ko:K13885
gene-LOC142976568,ko:K18629
gene-LOC142976570,ko:K17964
gene-LOC142976570,ko:K19942
gene-LOC142976573,ko:K13353
gene-LOC142976580,ko:K14554
gene-LOC142976586,ko:K01312
gene-LOC142976587,ko:K06772
gene-LOC142976587,ko:K06773
gene-LOC142976587,ko:K06774
gene-LOC142976589,ko:K09311
gene-LOC142976590,ko:K01185
gene-LOC142976590,ko:K13915
gene-LOC142976594,ko:K19511
gene-LOC142976603,ko:K09646
gene-LOC142976614,ko:K15430
gene-LOC142976622,ko:K16726
gene-LOC142976626,ko:K00854
gene-LOC142976626,ko:K16732
gene-LOC142976629,ko:K04428
gene-LOC142976630,ko:K15119
gene-LOC142976631,ko:K01283
gene-LOC142976633,ko:K06753
gene-LOC142976633,ko:K06754
gene-LOC142976633,ko:K06755
gene-LOC142976634,ko:K09301
gene-LOC142976635,ko:K01047
gene-LOC142976636,ko:K06254
gene-LOC142976637,ko:K06254
gene-LOC142976639,ko:K15730
gene-LOC142976649,ko:K01185
gene-LOC142976649,ko:K13915
gene-LOC142976658,ko:K06258
gene-LOC142976661,ko:K09083
gene-LOC142976662,ko:K06258
gene-LOC142976663,ko:K22290
gene-LOC142976664,ko:K09228
gene-LOC142976667,ko:K18734
gene-LOC142976674,ko:K13885
gene-LOC142976675,ko:K11585
gene-LOC142976675,ko:K11586
gene-LOC142976675,ko:K11587
gene-LOC142976678,ko:K18809
gene-LOC142976680,ko:K01769
gene-LOC142976681,ko:K07191
gene-LOC142976681,ko:K07299
gene-LOC142976681,ko:K07593
gene-LOC142976681,ko:K08142
gene-LOC142976683,ko:K16220
gene-LOC142976684,ko:K20840
gene-LOC142976686,ko:K06258
gene-LOC142976688,ko:K13353
gene-LOC142976693,ko:K03909
gene-LOC142976711,ko:K05323
gene-LOC142976722,ko:K01758
gene-LOC142976726,ko:K00027
gene-LOC142976726,ko:K00029
gene-LOC142976727,ko:K03283
gene-LOC142976731,ko:K04706
gene-LOC142976731,ko:K19511
gene-LOC142976741,ko:K01373
gene-LOC142976745,ko:K03781
gene-LOC142976746,ko:K06258
gene-LOC142976752,ko:K01792
gene-LOC142976754,ko:K16617
gene-LOC142976756,ko:K16617
gene-LOC142976757,ko:K06254
gene-LOC142976759,ko:K13984
gene-LOC142976760,ko:K18399
gene-LOC142976763,ko:K07555
gene-LOC142976774,ko:K06236
gene-LOC142976774,ko:K19719
gene-LOC142976774,ko:K19720
gene-LOC142976774,ko:K19721
gene-LOC142976775,ko:K04307
gene-LOC142976782,ko:K00901
gene-LOC142976786,ko:K19495
gene-LOC142976788,ko:K04670
gene-LOC142976788,ko:K13596
gene-LOC142976791,ko:K19514
gene-LOC142976792,ko:K21806
gene-LOC142976794,ko:K12741
gene-LOC142976794,ko:K13158
gene-LOC142976796,ko:K01758
gene-LOC142976798,ko:K01052
gene-LOC142976803,ko:K13355
gene-LOC142976804,ko:K03440
gene-LOC142976805,ko:K01540
gene-LOC142976806,ko:K00799
gene-LOC142976806,ko:K04097
gene-LOC142976808,ko:K08739
gene-LOC142976809,ko:K10738
gene-LOC142976809,ko:K16766
gene-LOC142976809,ko:K18078
gene-LOC142976814,ko:K19514
gene-LOC142976816,ko:K08665
gene-LOC142976816,ko:K09637
gene-LOC142976816,ko:K09640
gene-LOC142976817,ko:K08665
gene-LOC142976817,ko:K09637
gene-LOC142976817,ko:K09640
gene-LOC142976821,ko:K01672
gene-LOC142976823,ko:K08809
gene-LOC142976823,ko:K09566
gene-LOC142976823,ko:K17341
gene-LOC142976826,ko:K10356
gene-LOC142976827,ko:K14613
gene-LOC142976827,ko:K17917
gene-LOC142976827,ko:K20840
gene-LOC142976866,ko:K12842
gene-LOC142976872,ko:K02021
gene-LOC142976872,ko:K05657
gene-LOC142976872,ko:K19762
gene-LOC142976873,ko:K05657
gene-LOC142976875,ko:K00852
gene-LOC142976884,ko:K22390
gene-LOC142976886,ko:K09407
gene-LOC142976887,ko:K01310
gene-LOC142976887,ko:K09640
gene-LOC142976888,ko:K01310
gene-LOC142976888,ko:K09640
gene-LOC142976889,ko:K01310
gene-LOC142976890,ko:K01310
gene-LOC142976891,ko:K01310
gene-LOC142976892,ko:K09640
gene-LOC142976893,ko:K00477
gene-LOC142976894,ko:K01316
gene-LOC142976894,ko:K09614
gene-LOC142976894,ko:K09625
gene-LOC142976894,ko:K09640
gene-LOC142976898,ko:K00019
gene-LOC142976899,ko:K01158
gene-LOC142976900,ko:K01158
gene-LOC142976902,ko:K06927
gene-LOC142976902,ko:K13761
gene-LOC142976904,ko:K00106
gene-LOC142976909,ko:K20067
gene-LOC142976910,ko:K10779
gene-LOC142976914,ko:K17725
gene-LOC142976919,ko:K15407
gene-LOC142976923,ko:K14360
gene-LOC142976925,ko:K06269
gene-LOC142976927,ko:K06105
gene-LOC142976928,ko:K11518
gene-LOC142976929,ko:K17339
gene-LOC142976930,ko:K01679
gene-LOC142976931,ko:K19465
gene-LOC142976933,ko:K00699
gene-LOC142976934,ko:K00699
gene-LOC142976938,ko:K00699
gene-LOC142976939,ko:K00106
gene-LOC142976940,ko:K00106
gene-LOC142976944,ko:K17339
gene-LOC142976945,ko:K11671
gene-LOC142976951,ko:K00913
gene-LOC142976953,ko:K08074
gene-LOC142976954,ko:K12592
gene-LOC142976962,ko:K00669
gene-LOC142976964,ko:K09327
gene-LOC142976966,ko:K01410
gene-LOC142976968,ko:K20364
gene-LOC142976969,ko:K13168
gene-LOC142976976,ko:K01312
gene-LOC142976976,ko:K09463
gene-LOC142976976,ko:K09640
gene-LOC142976976,ko:K20752
gene-LOC142976981,ko:K01310
gene-LOC142976982,ko:K00106
gene-LOC142976983,ko:K12385
gene-LOC142976986,ko:K09104
gene-LOC142976987,ko:K14824
gene-LOC142976988,ko:K22075
gene-LOC142976993,ko:K01310
gene-LOC142976994,ko:K00504
gene-LOC142976994,ko:K12597
gene-LOC142976994,ko:K18200
gene-LOC142976995,ko:K10325
gene-LOC142976997,ko:K08371
gene-LOC142977000,ko:K18060
gene-LOC142977001,ko:K01426
gene-LOC142977001,ko:K10765
gene-LOC142977001,ko:K20168
gene-LOC142977002,ko:K00297
gene-LOC142977004,ko:K18179
gene-LOC142977007,ko:K09331
gene-LOC142977011,ko:K00477
gene-LOC142977012,ko:K09640
gene-LOC142977021,ko:K13023
gene-LOC142977024,ko:K09228
gene-LOC142977026,ko:K14999
gene-LOC142977033,ko:K01312
gene-LOC142977033,ko:K09640
gene-LOC142977034,ko:K01312
gene-LOC142977034,ko:K09640
gene-LOC142977036,ko:K01312
gene-LOC142977036,ko:K09640
gene-LOC142977040,ko:K19625
gene-LOC142977044,ko:K14999
gene-LOC142977050,ko:K21027
gene-LOC142977053,ko:K00106
gene-LOC142977054,ko:K00106
gene-LOC142977055,ko:K00106
gene-LOC142977056,ko:K01077
gene-LOC142977057,ko:K01832
gene-LOC142977057,ko:K07424
gene-LOC142977057,ko:K17689
gene-LOC142977057,ko:K17690
gene-LOC142977057,ko:K17691
gene-LOC142977057,ko:K17692
gene-LOC142977057,ko:K17860
gene-LOC142977060,ko:K04314
gene-LOC142977063,ko:K00140
gene-LOC142977064,ko:K04145
gene-LOC142977064,ko:K14049
gene-LOC142977066,ko:K08471
gene-LOC142977073,ko:K00665
